System_ID,Composite,Active,Active_wt%,Support,Support_wt%,Cocatalyst,Cocatalyst_wt%,avg_band_gap,avg_cbm,avg_vbm,avg_energy_above_hull,avg_formation_energy_per_atom,avg_weighted_surface_energy,avg_weighted_work_function,avg_density,Active_is_gap_direct,Active_is_stable,Active_crystal_system
1,CsPbBr3/nan/nan,CsPbBr3,100.0,,0.0,,0.0,2.012099999999999,2.4894,0.4773,0.0045843869999990005,-1.629785204431034,,,4.733981032983984,True,False,Orthorhombic
2,Bi2WO6/nan/nan,Bi2WO6,100.0,,0.0,,0.0,1.908999999999999,5.5352,3.6262,0.000449895,-1.956102882222222,,,9.289459421405475,False,False,Orthorhombic
3,CsPbBr3/Bi2WO6/nan,CsPbBr3,50.0,Bi2WO6,50.0,,0.0,1.960549999999999,4.0123,2.0517499999999997,0.0025171409999995,-1.792944043326628,,,7.011720227194729,True,False,Orthorhombic
4,CsPbBr3/Bi2WO6/nan,CsPbBr3,33.33,Bi2WO6,66.67,,0.0,1.943363229999999,4.52003486,2.57667163,0.0018279211835996669,-1.847341200214419,,,7.7711184745445925,True,False,Orthorhombic
5,CsPbBr3/Bi2WO6/nan,CsPbBr3,20.0,Bi2WO6,80.0,,0.0,1.929619999999999,4.92604,2.99642,0.0012767933999998002,-1.8908393466639843,,,8.378363743721177,True,False,Orthorhombic
6,CsPbBr3/Bi2WO6/nan,CsPbBr3,11.11,Bi2WO6,88.89,,0.0,1.920454409999999,5.19681162,3.27635721,0.0009092370611998889,-1.919848988219621,,,8.783345772451847,True,False,Orthorhombic
7,CsPbBr3/Bi2WO6/nan,CsPbBr3,9.09,Bi2WO6,90.91,,0.0,1.9183717899999988,5.25833678,3.33996499,0.000825720322799909,-1.926440605311003,,,8.875366435897961,True,False,Orthorhombic
18,ZnO/C48H34N6O32Zr6/C9OH2,ZnO,49.0,C48H34N6O32Zr6,49.5,C9OH2,1.5,0.630899999999999,1.4724,0.8415,0.00806893,-1.782830182499999,,,5.708336616549273,True,False,Cubic
24,Cu/C48H34N6O32Zr6/nan,Cu,0.392,C48H34N6O32Zr6,99.608,,0.0,0.0,,,0.007716539999998001,0.007716539999998001,1.390374491664041,4.554791979046378,9.210602272661523,False,False,Hexagonal
25,Cu/C48H34N6O32Zr6/nan,Cu,0.821,C48H34N6O32Zr6,99.179,,0.0,0.0,,,0.007716539999998,0.007716539999998,1.390374491664041,4.554791979046378,9.210602272661523,False,False,Hexagonal
26,C3N4/nan/nan,C3N4,100.0,,0.0,,0.0,1.181499999999999,3.0216,1.8401,0.088740559642856,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
27,C3N4/nan/nan,C3N4,100.0,,0.0,,0.0,1.181499999999999,3.0216,1.8401,0.088740559642856,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
28,C3N4/ZnC8H10N4/nan,C3N4,90.9,ZnC8H10N4,9.099999999999994,,0.0,1.181499999999999,3.0216,1.8401,0.088740559642856,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
29,C3N4/ZnC8H10N4/nan,C3N4,88.9,ZnC8H10N4,11.099999999999994,,0.0,1.181499999999999,3.0216,1.8401,0.088740559642856,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
30,C3N4/ZnC8H10N4/nan,C3N4,83.3,ZnC8H10N4,16.700000000000003,,0.0,1.181499999999999,3.0216,1.8401000000000003,0.088740559642856,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
31,C3N4/ZnC8H10N4/nan,C3N4,66.7,ZnC8H10N4,33.3,,0.0,1.181499999999999,3.0215999999999994,1.8400999999999998,0.088740559642856,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
32,C3N4/ZnC8H10N4/nan,C3N4,50.0,ZnC8H10N4,50.0,,0.0,1.181499999999999,3.0216,1.8401,0.088740559642856,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
35,TiO2/ZnC8H10N4/nan,TiO2,99.86,ZnC8H10N4,0.14000000000000057,,0.0,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
41,CuO/C48H28O36Ti8/nan,CuO,1.0,C48H28O36Ti8,99.0,,0.0,0.0,,,0.000264654999999,-0.9425302874999991,,,5.938478413978436,False,False,Monoclinic
42,C3N4/C48H28O36Ti8/nan,C3N4,2.5,C48H28O36Ti8,97.5,,0.0,1.181499999999999,3.0216,1.8401,0.08874055964285599,0.088740559642857,,,1.9438842012271311,False,False,Orthorhombic
43,C3N4/C48H28O36Ti8/CuO,C3N4,1.5,C48H28O36Ti8,97.5,CuO,1.0,0.7088999999999993,3.0216,1.8401,0.0533501977857132,-0.3237677792142854,,,3.5417218863276534,False,False,Orthorhombic
44,C3N4/C48H28O36Ti8/CuO,C3N4,2.0,C48H28O36Ti8,97.0,CuO,1.0,0.7876666666666662,3.0216,1.8401,0.05924859142857034,-0.2550163894047617,,,3.2754156054775665,False,False,Orthorhombic
45,C3N4/C48H28O36Ti8/CuO,C3N4,2.5,C48H28O36Ti8,96.5,CuO,1.0,0.8439285714285708,3.0216,1.8401,0.06346172974489685,-0.20590825382653044,,,3.0851968334417896,False,False,Orthorhombic
46,C3N4/C48H28O36Ti8/CuO,C3N4,3.0,C48H28O36Ti8,96.0,CuO,1.0,0.8861249999999993,3.0216,1.8401,0.06662158348214174,-0.169077152142857,,,2.942532754414957,False,False,Orthorhombic
47,C3N4/C48H28O36Ti8/CuO,C3N4,3.5,C48H28O36Ti8,95.5,CuO,1.0,0.9189444444444437,3.0216,1.8400999999999998,0.06907924749999889,-0.14043073972222211,,,2.8315718040607547,False,False,Orthorhombic
48,CuO/C48H28O36Ti8/C3N4,CuO,0.5,C48H28O36Ti8,97.0,C3N4,2.5,0.9845833333333326,3.0216,1.8401,0.07399457553571316,-0.08313791488095233,,,2.6096499033523486,False,False,Monoclinic
49,CuO/C48H28O36Ti8/C3N4,CuO,1.5,C48H28O36Ti8,96.0,C3N4,2.5,0.7384374999999995,3.0216,1.8401,0.05556209540178462,-0.297986008035714,,,3.4418570310088707,False,False,Monoclinic
50,CuO/C48H28O36Ti8/C3N4,CuO,2.0,C48H28O36Ti8,95.5,C3N4,2.5,0.6563888888888885,3.0216,1.8401,0.04941793535714178,-0.36960203908730127,,,3.7192594068943783,False,False,Monoclinic
56,Zn2GeO4/nan/nan,Zn2GeO4,100.0,,0.0,,0.0,2.2752,2.0806,-0.19460000000000002,0.0,-1.9692918614285722,,,4.755174506972145,True,True,Trigonal
57,ZnC8H10N4/Zn2GeO4/nan,ZnC8H10N4,25.0,Zn2GeO4,75.0,,0.0,2.2752,2.0806,-0.19460000000000002,0.0,-1.9692918614285722,,,4.755174506972145,,,
58,ZnC8H10N4/Zn2GeO4/Pt,ZnC8H10N4,25.0,Zn2GeO4,74.0,Pt,1.0,2.2448639999999997,2.0806,-0.19460000000000002,0.0009212495333333466,-1.9421133870761913,,,4.964891438507158,,,
59,ZnO/nan/nan,ZnO,100.0,,0.0,,0.0,0.630899999999999,1.4724,0.8415,0.00806893,-1.782830182499999,,,5.708336616549273,True,False,Cubic
60,NiO/ZnO/nan,NiO,10.0,ZnO,90.0,,0.0,0.797899999999999,2.12444,1.32654,0.007262037000000001,-1.726355694249999,,,5.81371840265623,False,True,Cubic
61,NiO/ZnO/nan,NiO,30.0,ZnO,70.0,,0.0,1.131899999999999,3.42852,2.29662,0.005648251,-1.6134067177499989,,,6.024481974870142,False,True,Cubic
62,NiO/ZnO/nan,NiO,50.0,ZnO,50.0,,0.0,1.465899999999999,4.7326,3.2667,0.004034465,-1.500457741249999,,,6.235245547084055,False,True,Cubic
63,NiO/nan/nan,NiO,100.0,,0.0,,0.0,2.300899999999999,7.9928,5.6919,0.0,-1.218085299999999,,,6.762154477618838,False,True,Cubic
65,Cu/ZnC8H10N4/nan,Cu,6.5,ZnC8H10N4,93.5,,0.0,0.0,,,0.007716539999998,0.007716539999998,1.390374491664041,4.554791979046378,9.210602272661523,False,False,Hexagonal
66,Cu/ZnC8H10N4/nan,Cu,12.3,ZnC8H10N4,87.7,,0.0,0.0,,,0.007716539999998001,0.007716539999998001,1.390374491664041,4.554791979046378,9.210602272661523,False,False,Hexagonal
67,Cu/ZnC8H10N4/nan,Cu,12.3,ZnC8H10N4,87.7,,0.0,0.0,,,0.007716539999998001,0.007716539999998001,1.390374491664041,4.554791979046378,9.210602272661523,False,False,Hexagonal
68,Cu/ZnC8H10N4/nan,Cu,12.3,ZnC8H10N4,87.7,,0.0,0.0,,,0.007716539999998001,0.007716539999998001,1.390374491664041,4.554791979046378,9.210602272661523,False,False,Hexagonal
69,Cu/ZnC8H10N4/nan,Cu,17.3,ZnC8H10N4,82.7,,0.0,0.0,,,0.007716539999998,0.007716539999998,1.390374491664041,4.554791979046378,9.210602272661523,False,False,Hexagonal
70,TiO2/SiO2/nan,TiO2,3.85,SiO2,96.15,,0.0,5.53924295,6.21635695,0.6771140000000001,0.0007187059320838676,-3.281168766116945,,,2.6889643081128454,False,False,Orthorhombic
71,TiO2/SiO2/nan,TiO2,1.96,SiO2,98.04,,0.0,5.603187320000001,6.24318172,0.6399944000000001,0.0006730506563338781,-3.276768685750445,,,2.6611264541311543,False,False,Orthorhombic
72,TiO2/SiO2/nan,TiO2,0.99,SiO2,99.01,,0.0,5.636005330000001,6.256948930000001,0.6209436,0.0006496191126949947,-3.2745104434459456,,,2.6468393015585407,False,False,Orthorhombic
73,TiO2/SiO2/CuC44H28N4,TiO2,3.85,SiO2,95.05000000000001,CuC44H28N4,1.1,5.537794186046512,6.215749191102123,0.6779550050556119,0.0007197403267896588,-3.28126845711128,,,2.6895950200799996,False,False,Orthorhombic
74,TiO2/SiO2/CuC44H28N4,TiO2,3.85,SiO2,95.05000000000001,CuC44H28N4,1.1,5.537794186046512,6.215749191102123,0.6779550050556119,0.0007197403267896588,-3.28126845711128,,,2.6895950200799996,False,False,Orthorhombic
75,TiO2/SiO2/CuC44H28N4,TiO2,3.85,SiO2,95.05000000000001,CuC44H28N4,1.1,5.537794186046512,6.215749191102123,0.6779550050556119,0.0007197403267896588,-3.28126845711128,,,2.6895950200799996,False,False,Orthorhombic
76,TiO2/SiO2/CuC44H28N4,TiO2,3.85,SiO2,95.05000000000001,CuC44H28N4,1.1,5.537794186046512,6.215749191102123,0.6779550050556119,0.0007197403267896588,-3.28126845711128,,,2.6895950200799996,False,False,Orthorhombic
