Active,Support,Predicted_Product,Confidence_pct,Predicted_Rate,Gap_to_Target
ZnO,TiO2,CH3OH,93.1,13.13,125.87
BiVO4,SiO2,CH4,98.7,9.66,129.34
BiVO4,TiO2,CH4,99.9,6.34,132.66
BiVO4,C3N4,CH4,99.6,6.12,132.88
ZnFe2O4,TiO2,CH4,63.6,5.29,133.71
CuFe2O4,TiO2,CH4,60.6,4.25,134.75
CuFe2O4,C3N4,CH4,84.1,4.03,134.97
Fe2O3,TiO2,CH4,84.7,3.15,135.85
Fe2O3,C3N4,CH4,88.2,3.12,135.88
ZnFe2O4,C3N4,CH4,75.3,2.83,136.17
ZnFe2O4,SiO2,CH4,57.9,2.38,136.62
ZnO,SiO2,CH3OH,84.6,2.25,136.75
CuFe2O4,SiO2,CH4,82.4,2.08,136.92
ZnO,C3N4,CH3OH,92.0,1.78,137.22
Fe2O3,SiO2,CH4,94.7,1.69,137.31
ZnO,TiO2,CH3OH,79.2,31.52,107.48
ZnFe2O4,TiO2,CH4,76.1,17.15,121.85
BiVO4,SiO2,CH4,99.6,13.51,125.49
Fe2O3,TiO2,CH4,94.1,11.72,127.28
BiVO4,TiO2,CH4,99.9,9.95,129.05
BiVO4,C3N4,CH4,99.8,9.69,129.31
CuFe2O4,TiO2,CH4,59.7,8.93,130.07
CuFe2O4,C3N4,CH4,83.5,7.9,131.1
ZnFe2O4,SiO2,CH4,79.0,7.62,131.38
Fe2O3,C3N4,CH4,95.2,7.14,131.86
ZnFe2O4,C3N4,CH4,91.4,6.81,132.19
Fe2O3,SiO2,CH4,98.2,6.8,132.2
CuFe2O4,SiO2,CH4,87.7,5.37,133.63
ZnO,SiO2,CH3OH,81.8,5.16,133.84
ZnO,C3N4,CH3OH,73.0,3.46,135.54
