Active,Support,Predicted_Product,Confidence_pct,Predicted_Rate,Gap_to_Target
ZnO,TiO2,CH3OH,79.2,31.52,107.48
ZnFe2O4,TiO2,CH4,76.1,17.15,121.85
BiVO4,SiO2,CH4,99.6,13.51,125.49
Fe2O3,TiO2,CH4,94.1,11.72,127.28
BiVO4,TiO2,CH4,99.9,9.95,129.05
BiVO4,C3N4,CH4,99.8,9.69,129.31
CuFe2O4,TiO2,CH4,59.7,8.93,130.07
CuFe2O4,C3N4,CH4,83.5,7.9,131.1
ZnFe2O4,SiO2,CH4,79.0,7.62,131.38
Fe2O3,C3N4,CH4,95.2,7.14,131.86
ZnFe2O4,C3N4,CH4,91.4,6.81,132.19
Fe2O3,SiO2,CH4,98.2,6.8,132.2
CuFe2O4,SiO2,CH4,87.7,5.37,133.63
ZnO,SiO2,CH3OH,81.8,5.16,133.84
ZnO,C3N4,CH3OH,73.0,3.46,135.54
