k,mj_mae_mean,mj_r2_mean,mj_acc_mean,mi_mae_mean,mi_r2_mean,mi_acc_mean,mj_mae_std,mj_r2_std,mj_acc_std,mi_mae_std,mi_r2_std,mi_acc_std
0,99.29154619313918,-0.31688096842229874,0.317948717948718,27.200487830174204,-0.2492071230730378,0.046153846153846156,26.60548939925452,0.2867171140756022,0.09259215428342457,16.330113388567533,0.22089330562940926,0.03768445758127967
1,100.49846587489613,-0.2882705431506468,0.2923076923076923,27.07279189746314,-0.21808921374302495,0.09743589743589744,24.247810961386676,0.22780814423017517,0.06405126152203484,16.181952724058302,0.1391966922567359,0.13313594857176583
2,98.46971887080284,-0.2563852347294389,0.30769230769230765,28.357122919402276,-0.39202284087964884,0.041025641025641026,26.13207289956919,0.21803018234667582,0.08581128477272569,17.19849877109906,0.13691593892084641,0.04755701792561899
3,106.17510323177162,-0.45313606173025994,0.31282051282051276,27.4509514932044,-0.40074553641002836,0.05641025641025641,26.221169392267395,0.4007911615975523,0.09648660370372707,15.645180110418874,0.18276483986758713,0.041025641025641026
4,100.85292777196855,-0.5411144522638546,0.22051282051282048,27.519891449240685,-0.6053834508312855,0.06153846153846154,26.012219489559968,0.29010261765423384,0.08822897709787308,16.23788468772663,0.25724035775157755,0.047557017925619
5,116.82374229805941,-0.5879731672540347,0.29230769230769227,27.676286872385173,-0.5054908892694495,0.03076923076923077,36.67133396355607,0.5935235510459049,0.09259215428342456,16.486287308263353,0.35831448073156236,0.02512297172085311
6,100.07416014316188,-0.3296724988239418,0.2358974358974359,27.49714117703463,-0.5467229765143402,0.035897435897435895,26.329526859953692,0.201717308671675,0.12392867665225202,16.01080707877172,0.31113627502611646,0.034781179400642404
8,100.654842278558,-0.464674217789411,0.27179487179487183,28.35071270993766,-0.6543038886550795,0.02564102564102564,25.1277181031674,0.34916128600187163,0.09943958681879649,15.42378110242191,0.32059195026877607,0.039722906114947866
10,101.53625923286751,-0.497337466076738,0.2358974358974359,27.315823602678012,-0.33839580947749914,0.07179487179487179,25.78565973366297,0.283979400673769,0.08642204895565497,16.416518245340924,0.2684682160380581,0.04411448854893654
15,100.96822332343976,-0.48236321328860854,0.20512820512820512,27.079885456958777,-0.41456488598076324,0.08717948717948718,26.035408794771126,0.2818699723480442,0.1063407248888601,16.22836635584696,0.3455959328641298,0.050245943441706215
20,99.27350031000452,-0.6383641504096346,0.241025641025641,27.471372022236523,-0.6936485855650549,0.11282051282051282,26.289007890053295,0.43076497637975064,0.12727870406144468,16.28188769067105,0.14284147948691858,0.09259215428342454
30,100.81876258779104,-0.34928412390003394,0.25641025641025644,27.763896548222068,-0.5077005959981357,0.06153846153846154,25.958405314691642,0.2499677842079485,0.09864299518805818,15.934166223850472,0.13616222785967128,0.03837597319768145
40,102.16446840067077,-0.7195911801979796,0.28205128205128205,27.190185471858445,-0.33473017645703457,0.10256410256410257,25.59170495364496,0.3196233043326562,0.1468494468028344,16.422878526089875,0.29929512353210397,0.05847053462046862
50,100.73163899003464,-0.2888096007980677,0.3384615384615384,27.416448635134394,-0.2973783644137402,0.12307692307692306,25.556258942592613,0.2532035482360379,0.04700077635852145,15.948324231189808,0.27426167550013864,0.034016664516465636
60,97.05044086574085,-0.05756376557796365,0.3846153846153846,28.0902420595445,-0.2514423210206453,0.13846153846153847,26.037079373515866,0.1835234241656227,0.11694106924093722,15.88429990444616,0.4233933865340457,0.06803332903293127
70,97.85070807756198,-0.10002222606905711,0.40512820512820513,27.047969596823272,-0.11381602604506211,0.14871794871794872,26.71910822188318,0.22970511211567973,0.0767519463953629,16.311464794618036,0.18564276588043158,0.03401666451646564
80,88.0354178511685,0.23539567758361707,0.5948717948717948,27.09210196824308,-0.09113355206519547,0.18974358974358974,22.916264766507325,0.11727887547494657,0.14720718045545972,15.514427127851954,0.28200694717142505,0.02614881801842454
90,89.12139094058962,0.22187531852705464,0.5794871794871795,27.050930738869965,-0.05519602174991989,0.2564102564102564,25.277701638344226,0.10526746428355725,0.15605255440720964,15.823383779911287,0.23513064300557307,0.07068742949789857
91,93.41302116605563,0.29334896924542775,0.6307692307692307,27.262554026070063,-0.060768002632620166,0.19487179487179485,27.003879522844468,0.08785998720931204,0.08363849451435945,16.374018854601005,0.18620324616821501,0.06405126152203484
