feature,appears_in_n_targets,targets
Light_type,2,"Major_reg, Major_clf"
Light_wavelength_min_nm,2,"Major_reg, Major_clf"
Light_intensity_mW/cm^2,2,"Major_reg, Minor_reg"
Pore Volume_cm^3/g,2,"Major_clf, Minor_reg"
dipole_polarizability_std,2,"Major_clf, Minor_clf"
magp_electron_affinity_std,2,"Major_clf, Minor_reg"
magp_unfilled_f_mean,2,"Minor_reg, Minor_clf"
CatperVol_mgpermL,1,Major_reg
Solvent,1,Major_reg
Active_wt%,1,Major_reg
avg_formation_energy_per_atom,1,Major_reg
avg_cbm,1,Major_reg
Support,1,Major_reg
Cocatalyst,1,Major_reg
Reaction_Phase,1,Major_clf
atomic_number_mean,1,Major_clf
Reaction_pres_atm,1,Major_clf
avg_band_gap,1,Major_clf
atomic_weight_std,1,Major_clf
magp_unfilled_f_std,1,Minor_reg
magp_electron_affinity_mean,1,Minor_reg
magp_electronegativity_std,1,Minor_reg
period_mean,1,Minor_reg
magp_valence_s_mean,1,Minor_reg
avg_weighted_work_function,1,Minor_reg
vdw_radius_mean,1,Minor_clf
dipole_polarizability_mean,1,Minor_clf
magp_electronegativity_mean,1,Minor_clf
Reaction_temp,1,Minor_clf
covalent_radius_pyykko_std,1,Minor_clf
Average Pore Size_nm,1,Minor_clf
Is_heterojunction,1,Minor_clf
ionization_energy_mean,1,Minor_clf
